subtype_id,subtype_label,gene,pathway,mean_burden,overall_mean,fold_change,effect_size
3,subtype_3,RALA,HALLMARK_DNA_REPAIR,3.8172,4.1239,0.9256,-1.4188
3,subtype_3,TM7SF3,HALLMARK_P53_PATHWAY,5.2709,5.7593,0.9152,-1.4178
3,subtype_3,DNM1L,HALLMARK_PROTEIN_SECRETION,3.5869,3.902,0.9193,-1.4153
3,subtype_3,ACADM,HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.7254,3.1002,0.8791,-1.4123
3,subtype_3,METTL3,HALLMARK_ESTROGEN_RESPONSE_LATE,3.3105,3.5842,0.9236,-1.4122
3,subtype_3,ILF2,HALLMARK_MYC_TARGETS_V1,5.9623,6.3302,0.9419,-1.4113
3,subtype_3,ADH5,HALLMARK_XENOBIOTIC_METABOLISM,3.4598,3.8315,0.903,-1.4048
3,subtype_3,OSTC,HALLMARK_FATTY_ACID_METABOLISM,5.0307,5.5209,0.9112,-1.3996
3,subtype_3,EIF2S1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,3.7018,3.9736,0.9316,-1.3916
3,subtype_3,NUDT21,HALLMARK_E2F_TARGETS,3.391,3.7493,0.9044,-1.3909
