subtype_id,subtype_label,pathway,mean_score,overall_mean,fold_change,effect_size,p_value,q_value,significant
0,subtype_0,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.2135,0.0,4016423746123479.0,0.2417,0.0,0.0,True
0,subtype_0,HALLMARK_MYOGENESIS,-0.1742,-0.0,1.3110428138217354e+16,-0.1971,0.0,0.0,True
0,subtype_0,HALLMARK_COAGULATION,0.113,-0.0,-2125201847622928.0,0.1276,0.0,0.0,True
0,subtype_0,HALLMARK_HYPOXIA,0.0927,-0.0,-321775011972512.2,0.1046,0.0,0.0,True
0,subtype_0,HALLMARK_P53_PATHWAY,-0.0805,-0.0,229900515478904.1,-0.0909,0.0,0.0,True
0,subtype_0,HALLMARK_APOPTOSIS,-0.0716,-0.0,60984685412951.6,-0.0808,0.0,0.0,True
0,subtype_0,HALLMARK_IL2_STAT5_SIGNALING,-0.0127,-0.0,40850837432844.0,-0.0143,0.565742,0.565742,False
0,subtype_0,HALLMARK_PANCREAS_BETA_CELLS,-0.0077,0.0,-37060805436085.25,-0.0087,0.0,0.0,True
1,subtype_1,HALLMARK_PROTEIN_SECRETION,0.7409,0.0,887296853343666.9,1.2696,0.0,0.0,True
1,subtype_1,HALLMARK_PEROXISOME,0.6801,0.0,2147253518977910.0,1.1343,0.0,0.0,True
1,subtype_1,HALLMARK_ANDROGEN_RESPONSE,0.5751,-0.0,-534218001055894.1,0.9228,0.0,0.0,True
1,subtype_1,HALLMARK_ADIPOGENESIS,0.5741,0.0,1079927858172255.5,0.9209,0.0,0.0,True
1,subtype_1,HALLMARK_BILE_ACID_METABOLISM,0.5391,0.0,1193136516062795.0,0.8555,0.0,0.0,True
1,subtype_1,HALLMARK_KRAS_SIGNALING_DN,-0.5384,-0.0,3376316820514113.0,-0.8543,0.0,0.0,True
1,subtype_1,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.4538,-0.0,-665267548499604.4,0.704,0.0,0.0,True
1,subtype_1,HALLMARK_APICAL_SURFACE,-0.4532,-0.0,1967482454264373.5,-0.7029,0.0,0.0,True
1,subtype_1,HALLMARK_MYC_TARGETS_V2,-0.4375,0.0,-1.41085303671127e+16,-0.676,0.0,0.0,True
1,subtype_1,HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.4296,0.0,-5388038831121300.0,-0.6627,0.0,0.0,True
1,subtype_1,HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.4067,0.0,-9179873862984408.0,-0.6241,0.0,0.0,True
1,subtype_1,HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.3937,0.0,-4040276979979187.5,-0.6027,0.0,0.0,True
1,subtype_1,HALLMARK_FATTY_ACID_METABOLISM,0.3885,-0.0,-382969496129701.1,0.5941,0.0,0.0,True
1,subtype_1,HALLMARK_UV_RESPONSE_DN,0.382,0.0,1306562511238847.2,0.5834,0.0,0.0,True
1,subtype_1,HALLMARK_GLYCOLYSIS,0.3519,0.0,3.972479694750996e+16,0.5345,0.0,0.0,True
1,subtype_1,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.345,-0.0,-299568220964560.56,0.5234,0.0,0.0,True
1,subtype_1,HALLMARK_DNA_REPAIR,-0.3402,-0.0,570982390439388.9,-0.5156,0.0,0.0,True
1,subtype_1,HALLMARK_MTORC1_SIGNALING,0.3197,-0.0,-767782867327263.1,0.4829,0.0,0.0,True
1,subtype_1,HALLMARK_ALLOGRAFT_REJECTION,-0.3152,0.0,-348763861352534.56,-0.4757,0.0,0.0,True
1,subtype_1,HALLMARK_TGF_BETA_SIGNALING,0.3087,-0.0,-590634060921374.1,0.4655,0.0,0.0,True
1,subtype_1,HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.3078,-0.0,2105647607524720.2,-0.4641,0.0,0.0,True
