gse	srp	n_geo	n_recount3	in_recount3
GSE53239	SRP033725	22	62	TRUE
GSE107638	SRP126056	96	51	TRUE
GSE119290	SRP159190	44	44	TRUE
GSE80336	SRP073382	36	36	TRUE
GSE112523	SRP136794	34	34	TRUE
GSE81396	SRP074904	16	16	TRUE
GSE87194	SRP090259	38	NA	FALSE
GSE138082	SRP223448	78	NA	FALSE
GSE143692	SRP242009	12	NA	FALSE
GSE159487	SRP287292	150	NA	FALSE
GSE165604	SRP303646	37	NA	FALSE
GSE169512	SRP311949	8	NA	FALSE
GSE311978	SRP650289	97	NA	FALSE
GSE328018	SRP691817	23	NA	FALSE
